"The ___ are in the field.","Koyunlar tarlada.",sheep,koyun,noun
"This ___ is too small.","Bu gömlek çok küçük.",shirt,gömlek,noun
"My ___ is black.","Ayakkabım siyah.",shoe,ayakkabı,noun
"The ___ is closed.","Mağaza kapalı.",shop,mağaza,noun
"I need to ___ for food.","Yiyecek alışverişi yapmam gerek.",shop,alışveriş yapmak,verb
"I love ___.","Alışveriş yapmayı seviyorum.",shopping,alışveriş,noun
"The movie was too ___.","Film çok kısaydı.",short,kısa,adjective
"You ___ study more.","Daha çok çalışmalısın.",should,meli/malı,modal verb
"The ___ was amazing.","Gösteri harikaydı.",show,gösteri,noun
"Can you ___ me the way?","Bana yolu gösterebilir misin?",show,göstermek,verb
"I need to take a ___.","Duş almam gerek.",shower,duş,noun
"I feel ___ today.","Bugün hastayım.",sick,hasta,adjective
"These pictures are ___.","Bu resimler benzer.",similar,benzer,adjective
"She likes to ___ in the shower.","Duşta şarkı söylemeyi sever.",sing,şarkı söylemek,verb
"He is a famous ___.","O ünlü bir şarkıcı.",singer,şarkıcı,noun
"My ___ lives in Paris.","Kız kardeşim Paris'te yaşıyor.",sister,kız kardeş,noun
"Please ___ down.","Lütfen otur.",sit,oturmak,verb
"It's a difficult ___.","Bu zor bir durum.",situation,durum,noun
"I have ___ cats.","Altı kedim var.",six,altı,number
"She is ___ years old.","O on altı yaşında.",sixteen,on altı,number
"He is ___ years old.","O altmış yaşında.",sixty,altmış,number
"Computer ___ is important.","Bilgisayar becerisi önemlidir.",skill,beceri,noun
"She bought a new ___.","Yeni bir etek aldı.",skirt,etek,noun
"I need to ___.","Uyumam lazım.",sleep,uyumak,verb
"This computer is very ___.","Bu bilgisayar çok yavaş.",slow,yavaş,adjective
"The box is too ___.","Kutu çok küçük.",small,küçük,adjective
"There's a ___ in the garden.","Bahçede bir yılan var.",snake,yılan,noun
"The ___ is white.","Kar beyaz.",snow,kar,noun
"It started to ___ yesterday.","Dün kar yağmaya başladı.",snow,kar yağmak,verb
"The coffee is ___ hot.","Kahve çok sıcak.",so,çok,adverb
"I'm tired, ___ I'll go home.","Yorgunum, bu yüzden eve gideceğim.",so,bu yüzden,conjunction
"I need ___ help.","Biraz yardıma ihtiyacım var.",some,biraz,determiner
"___ of them are red.","Bazıları kırmızı.",some,bazı,pronoun
"___ called for you.","Biri seni aradı.",somebody,birisi,pronoun
"___ left this here.","Biri bunu buraya bırakmış.",someone,birisi,pronoun
"I need to tell you ___.","Sana bir şey söylemem gerek.",something,bir şey,pronoun
"I ___ go swimming.","Bazen yüzmeye giderim.",sometimes,bazen,adverb
"My ___ is five years old.","Oğlum beş yaşında.",son,oğul,noun
"This is my favorite ___.","Bu benim favori şarkım.",song,şarkı,noun
"I'll be there ___.","Yakında orada olacağım.",soon,yakında,adverb
"I'm ___ I'm late.","Geç kaldığım için üzgünüm.",sorry,üzgün,adjective
"___, I can't come.","Üzgünüm, gelemeyeceğim.",sorry,üzgünüm,exclamation
"What's that ___?","O ses ne?",sound,ses,noun
"It ___ interesting.","İlginç geliyor.",sound,gelmek,verb
"The ___ is hot.","Çorba sıcak.",soup,çorba,noun
"The ___ coast is beautiful.","Güney sahili güzel.",south,güney,adjective
"The birds fly ___.","Kuşlar güneye uçuyor.",south,güneye,adverb
"We live in the ___.","Güneyde yaşıyoruz.",south,güney,noun
"There's no ___ in my room.","Odamda yer yok.",space,yer,noun
"Can you ___ English?","İngilizce konuşabiliyor musun?",speak,konuşmak,verb
"Today is a ___ day.","Bugün özel bir gün.",special,özel,adjective
"Can you ___ your name?","Adını heceleyebilir misin?",spell,hecelemek,verb
"Check your ___.","İmlanı kontrol et.",spelling,imla,noun
"Don't ___ too much money.","Çok para harcama.",spend,harcamak,verb
"Football is my favorite ___.","Futbol en sevdiğim spor.",sport,spor,noun
"I love ___.","İlkbaharı severim.",spring,ilkbahar,noun
"Please ___ up.","Lütfen ayağa kalk.",stand,ayağa kalkmak,verb
"Look at that ___.","Şu yıldıza bak.",star,yıldız,noun
"Let's ___ the game.","Oyunu başlatalım.",start,başlatmak,verb
"This is an important ___.","Bu önemli bir açıklama.",statement,açıklama,noun
"The train ___ is busy.","Tren istasyonu kalabalık.",station,istasyon,noun
"___ here please.","Lütfen burada kal.",stay,kalmak,verb
"He is ___ working.","O hala çalışıyor.",still,hala,adverb
"The bus ___ is there.","Otobüs durağı orada.",stop,durak,noun
"Please ___ talking.","Lütfen konuşmayı kes.",stop,durmak,verb
"Tell me a ___.","Bana bir hikaye anlat.",story,hikaye,noun
"I live on this ___.","Bu sokakta yaşıyorum.",street,sokak,noun
"He is very ___.","O çok güçlü.",strong,güçlü,adjective
"She is a ___ at university.","O üniversitede öğrenci.",student,öğrenci,noun
"This is my ___ room.","Burası çalışma odam.",study,çalışma,noun
"I ___ English.","İngilizce çalışıyorum.",study,çalışmak,verb
"I like your ___.","Tarzını beğendim.",style,tarz,noun
"What's your favorite ___?","En sevdiğin ders ne?",subject,ders,noun
"Hard work leads to ___.","Sıkı çalışmak başarıya götürür.",success,başarı,noun
"Would you like ___ in your tea?","Çayına şeker ister misin?",sugar,şeker,noun
"Let's meet in ___.","Yazın buluşalım.",summer,yaz,noun
"The ___ is shining.","Güneş parlıyor.",sun,güneş,noun
"See you on ___.","Pazar günü görüşürüz.",sunday,Pazar,noun
"Let's go to the ___.","Süpermarkete gidelim.",supermarket,süpermarket,noun
"Are you ___?","Emin misin?",sure,emin,adjective
"This ___ is too big.","Bu kazak çok büyük.",sweater,kazak,noun
"I like to ___.","Yüzmeyi severim.",swim,yüzmek,verb
"___ is good exercise.","Yüzmek iyi bir egzersizdir.",swimming,yüzme,noun
"This ___ is new.","Bu tişört yeni.",t-shirt,tişört,noun
"Put it on the ___.","Onu masaya koy.",table,masa,noun
"___ your time.","Zamanını al.",take,almak,verb
"Let's ___ about it.","Bu konuda konuşalım.",talk,konuşmak,verb
"He is very ___.","O çok uzun.",tall,uzun,adjective
"Take a ___ to the airport.","Havaalanına taksi tut.",taxi,taksi,noun
"Would you like some ___?","Biraz çay ister misin?",tea,çay,noun
english_sentence,turkish_sentence,english_word,turkish_word,word_info
"He ___ English at school.","O okulda İngilizce öğretiyor.",teach,öğretmek,verb
"My ___ is very kind.","Öğretmenim çok nazik.",teacher,öğretmen,noun
"Our ___ won the match.","Takımımız maçı kazandı.",team,takım,noun
"My brother is a ___.","Kardeşim bir genç.",teenager,genç,noun
"The ___ is ringing.","Telefon çalıyor.",telephone,telefon,noun
"I'll ___ you later.","Seni daha sonra arayacağım.",telephone,telefonla aramak,verb
"I watch ___ every evening.","Her akşam televizyon izliyorum.",television,televizyon,noun
"Can you ___ me the time?","Bana saati söyleyebilir misin?",tell,söylemek,verb
"I have ___ books.","On kitabım var.",ten,on,number
"Let's play ___.","Tenis oynayalım.",tennis,tenis,noun
"The weather is ___.","Hava berbat.",terrible,berbat,adjective
"I have a ___ tomorrow.","Yarın sınavım var.",test,sınav,noun
"Let's ___ the new program.","Yeni programı test edelim.",test,test etmek,verb
"Send me a ___.","Bana bir mesaj gönder.",text,mesaj,noun
"She is taller ___ me.","O benden daha uzun.",than,den/dan,conjunction
"He is better ___ expected.","O beklenenden daha iyi.",than,den/dan,preposition
"I want to ___ you.","Sana teşekkür etmek istiyorum.",thank,teşekkür etmek,verb
"___ for your help.","Yardımın için teşekkürler.",thanks,teşekkürler,exclamation
"Many ___ for coming.","Geldiğiniz için çok teşekkürler.",thanks,teşekkürler,noun
"I hope ___ you can come.","Umarım gelebilirsin.",that,ki,conjunction
"I like ___ book.","O kitabı seviyorum.",that,o,determiner
"___ is my car.","O benim arabam.",that,o,pronoun
"___ sun is bright.","Güneş parlak.",the,belirtili artikel,definite article
"Let's go to ___.","Tiyatroya gidelim.",theatre,tiyatro,noun
"___ car is red.","Onların arabası kırmızı.",their,onların,determiner
"I'll help ___.","Onlara yardım edeceğim.",them,onlara,pronoun
"What did you do ___?","Sonra ne yaptın?",then,sonra,adverb
"Put it ___.","Onu oraya koy.",there,oraya,adverb
"___ are my friends.","Onlar benim arkadaşlarım.",they,onlar,pronoun
"Give me that ___.","Bana şu şeyi ver.",thing,şey,noun
"What do you ___?","Ne düşünüyorsun?",think,düşünmek,verb
"He came in ___ place.","O üçüncü sırada geldi.",third,üçüncü,ordinal number
"I'm ___.","Susamışım.",thirsty,susamış,adjective
"She is ___ years old.","O on üç yaşında.",thirteen,on üç,number
"There are ___ students.","Otuz öğrenci var.",thirty,otuz,number
"___ book is interesting.","Bu kitap ilginç.",this,bu,determiner
"___ is my house.","Bu benim evim.",this,bu,pronoun
"One ___ people live here.","Burada bin kişi yaşıyor.",thousand,bin,number
"I have ___ sisters.","Üç kız kardeşim var.",three,üç,number
"Walk ___ the door.","Kapıdan geç.",through,den/dan,adverb
"The road goes ___ the forest.","Yol ormandan geçiyor.",through,den/dan,preposition
"See you on ___.","Perşembe günü görüşürüz.",thursday,Perşembe,noun
"I need a train ___.","Bir tren biletine ihtiyacım var.",ticket,bilet,noun
"What ___ is it?","Saat kaç?",time,saat,noun
"I'm very ___.","Çok yorgunum.",tired,yorgun,adjective
"What's the ___ of the book?","Kitabın başlığı ne?",title,başlık,noun
"I want ___ sleep.","Uyumak istiyorum.",to,mek/mak,infinitive marker
"Go ___ school.","Okula git.",to,e/a,preposition
"I feel happy ___.","Bugün mutlu hissediyorum.",today,bugün,adverb
"___ is Monday.","Bugün Pazartesi.",today,bugün,noun
"Let's work ___.","Birlikte çalışalım.",together,birlikte,adverb
"Where is the ___?","Tuvalet nerede?",toilet,tuvalet,noun
"I need a ___.","Bir domatese ihtiyacım var.",tomato,domates,noun
"See you ___.","Yarın görüşürüz.",tomorrow,yarın,adverb
"___ will be sunny.","Yarın güneşli olacak.",tomorrow,yarın,noun
"Let's meet ___.","Bu akşam buluşalım.",tonight,bu akşam,adverb
"The party is ___.","Parti bu akşam.",tonight,bu akşam,noun
"The coffee is ___ hot.","Kahve çok sıcak.",too,çok,adverb
"My ___ hurts.","Dişim ağrıyor.",tooth,diş,noun
"What's the ___ of discussion?","Tartışma konusu ne?",topic,konu,noun
"Many ___ visit this city.","Birçok turist bu şehri ziyaret eder.",tourist,turist,noun
"This is a small ___.","Bu küçük bir kasaba.",town,kasaba,noun
"The ___ is heavy.","Trafik yoğun.",traffic,trafik,noun
"The ___ is late.","Tren geç kaldı.",train,tren,noun
"I love to ___.","Seyahat etmeyi severim.",travel,seyahat,noun
"We ___ every summer.","Her yaz seyahat ederiz.",travel,seyahat etmek,verb
"The ___ is very tall.","Ağaç çok uzun.",tree,ağaç,noun
"How was your ___?","Gezin nasıldı?",trip,gezi,noun
"These ___ are new.","Bu pantolon yeni.",trousers,pantolon,noun
"Is this story ___?","Bu hikaye gerçek mi?",true,gerçek,adjective
"___ to understand.","Anlamaya çalış.",try,çalışmak,verb
"See you on ___.","Salı günü görüşürüz.",tuesday,Salı,noun
"It's your ___.","Sıra sende.",turn,sıra,noun
"___ left here.","Buradan sola dön.",turn,dönmek,verb
"Let's watch ___.","Televizyon izleyelim.",tv,televizyon,noun
"She is ___ years old.","O on iki yaşında.",twelve,on iki,number
"I have ___ books.","Yirmi kitabım var.",twenty,yirmi,number
"I go there ___ a week.","Oraya haftada iki kez gidiyorum.",twice,iki kez,adverb
"I have ___ cats.","İki kedim var.",two,iki,number
"What ___ of music do you like?","Ne tür müzik seversin?",type,tür,noun
"Take an ___, it's raining.","Bir şemsiye al, yağmur yağıyor.",umbrella,şemsiye,noun
"My ___ lives in London.","Amcam Londra'da yaşıyor.",uncle,amca,noun
"The cat is ___ the table.","Kedi masanın altında.",under,altında,adverb
"Put it ___ the desk.","Onu sıranın altına koy.",under,altına,preposition
"I don't ___ this word.","Bu kelimeyi anlamıyorum.",understand,anlamak,verb
"She studies at ___.","O üniversitede okuyor.",university,üniversite,noun
"Wait ___ I come back.","Ben dönene kadar bekle.",until,kadar,conjunction
"Stay here ___ 5 PM.","Saat 5'e kadar burada kal.",until,kadar,preposition
"Look ___.","Yukarı bak.",up,yukarı,adverb
"Go ___ the stairs.","Merdivenlerden yukarı çık.",up,yukarı,preposition
"My room is ___.","Odam üst katta.",upstairs,üst katta,adverb
"Please help ___.","Lütfen bize yardım et.",us,bize,pronoun
"___ your dictionary.","Sözlüğünü kullan.",use,kullanmak,verb
"This book is very ___.","Bu kitap çok faydalı.",useful,faydalı,adjective
"I ___ wake up at 7.","Genellikle 7'de uyanırım.",usually,genellikle,adverb
"When is your ___?","Tatilin ne zaman?",vacation,tatil,noun
"I love eating ___.","Sebze yemeyi severim.",vegetable,sebze,noun
"That's ___ nice.","Bu çok güzel.",very,çok,adverb
"Let's watch a ___.","Bir video izleyelim.",video,video,noun
"They live in a small ___.","Onlar küçük bir köyde yaşıyor.",village,köy,noun
english_sentence,turkish_sentence,english_word,turkish_word,word_info
"We had a lot of ___ today.","Bugün çok ziyaretçimiz vardı.",visit,ziyaret,noun
"Let's ___ the museum.","Müzeyi ziyaret edelim.",visit,ziyaret etmek,verb
"There's a ___ at the door.","Kapıda bir ziyaretçi var.",visitor,ziyaretçi,noun
"Please ___ here.","Lütfen burada bekle.",wait,beklemek,verb
"The ___ is coming.","Garson geliyor.",waiter,garson,noun
"I ___ up at 7 AM.","Sabah 7'de uyanırım.",wake,uyanmak,verb
"Let's go for a ___.","Yürüyüşe çıkalım.",walk,yürüyüş,noun
"I ___ to school.","Okula yürüyorum.",walk,yürümek,verb
"The ___ is white.","Duvar beyaz.",wall,duvar,noun
"I ___ to learn English.","İngilizce öğrenmek istiyorum.",want,istemek,verb
"The soup is ___.","Çorba ılık.",warm,ılık,adjective
"I need to ___ my hands.","Ellerimi yıkamam gerek.",wash,yıkamak,verb
"My ___ is broken.","Saatim bozuk.",watch,saat,noun
"Let's ___ a movie.","Bir film izleyelim.",watch,izlemek,verb
"I need some ___.","Biraz suya ihtiyacım var.",water,su,noun
"Which ___ to the station?","İstasyona hangi yoldan?",way,yol,noun
"___ are friends.","Biz arkadaşız.",we,biz,pronoun
"What should I ___ today?","Bugün ne giymeliyim?",wear,giymek,verb
"How's the ___?","Hava nasıl?",weather,hava,noun
"Visit our ___.","Web sitemizi ziyaret edin.",website,web sitesi,noun
"See you on ___.","Çarşamba günü görüşürüz.",wednesday,Çarşamba,noun
"See you next ___.","Gelecek hafta görüşürüz.",week,hafta,noun
"Have a nice ___!","İyi hafta sonları!",weekend,hafta sonu,noun
"You're ___ here.","Burada hoş karşılanıyorsun.",welcome,hoş karşılanan,adjective
"___ to our home!","Evimize hoş geldiniz!",welcome,hoş geldiniz,exclamation
"They ___ us warmly.","Bizi sıcak karşıladılar.",welcome,karşılamak,verb
"I feel ___ today.","Bugün kendimi iyi hissediyorum.",well,iyi,adjective
"She speaks English very ___.","O İngilizceyi çok iyi konuşuyor.",well,iyi,adverb
"___, that's interesting!","Peki, bu ilginç!",well,peki,exclamation
"The ___ coast is beautiful.","Batı sahili güzel.",west,batı,adjective
"The sun sets in the ___.","Güneş batıda batar.",west,batıda,adverb
"I live in the ___.","Batıda yaşıyorum.",west,batı,noun
"___ time is it?","Saat kaç?",what,ne,determiner
"___ do you want?","Ne istiyorsun?",what,ne,pronoun
"___ do you arrive?","Ne zaman geliyorsun?",when,ne zaman,adverb
"Call me ___ you arrive.","Geldiğinde beni ara.",when,diğinde/dığında,conjunction
"Since ___ have you been here?","Ne zamandan beri buradasın?",when,ne zaman,pronoun
"___ is the bank?","Banka nerede?",where,nerede,adverb
"This is ___ we met.","Burası tanıştığımız yer.",where,yer,conjunction
"___ book do you want?","Hangi kitabı istiyorsun?",which,hangi,determiner
"___ one is yours?","Hangisi senin?",which,hangi,pronoun
"The ___ house is big.","Beyaz ev büyük.",white,beyaz,adjective
"I like ___ in winter.","Kışın beyazı severim.",white,beyaz,noun
"___ is at the door?","Kapıda kim var?",who,kim,pronoun
"___ are you crying?","Neden ağlıyorsun?",why,neden,adverb
"His ___ is a teacher.","Eşi bir öğretmen.",wife,eş,noun
"I ___ help you.","Sana yardım edeceğim.",will,ecek/acak,modal verb
"Our team will ___.","Takımımız kazanacak.",win,kazanmak,verb
"Open the ___.","Pencereyi aç.",window,pencere,noun
"Would you like some ___?","Biraz şarap ister misin?",wine,şarap,noun
"I love ___.","Kışı severim.",winter,kış,noun
"Coffee ___ milk, please.","Sütlü kahve lütfen.",with,ile,preposition
"I can't sleep ___ music.","Müzik olmadan uyuyamam.",without,olmadan,preposition
"The ___ is reading.","Kadın okuyor.",woman,kadın,noun
"That's ___ news!","Bu harika bir haber!",wonderful,harika,adjective
"What's this ___ in English?","Bu kelime İngilizce ne demek?",word,kelime,noun
"I love my ___.","İşimi seviyorum.",work,iş,noun
"I ___ at a bank.","Bir bankada çalışıyorum.",work,çalışmak,verb
"He is a factory ___.","O bir fabrika işçisi.",worker,işçi,noun
"The ___ is beautiful.","Dünya güzel.",world,dünya,noun
"___ you like some tea?","Biraz çay ister misin?",would,ister misin,modal verb
"I ___ to her every day.","Ona her gün yazarım.",write,yazmak,verb
"She is a famous ___.","O ünlü bir yazar.",writer,yazar,noun
"His ___ is very good.","Onun yazısı çok iyi.",writing,yazı,noun
"This answer is ___.","Bu cevap yanlış.",wrong,yanlış,adjective
"___, that's right!","Evet, doğru!",yeah,evet,exclamation
"Happy New ___!","Mutlu yıllar!",year,yıl,noun
"The ___ car is mine.","Sarı araba benim.",yellow,sarı,adjective
"I don't like ___.","Sarıyı sevmem.",yellow,sarı,noun
"___, I can help you.","Evet, sana yardım edebilirim.",yes,evet,exclamation
"I saw him ___.","Onu dün gördüm.",yesterday,dün,adverb
"___ was a good day.","Dün güzel bir gündü.",yesterday,dün,noun
"Are ___ ready?","Hazır mısın?",you,sen,pronoun
"She's still ___.","O hala genç.",young,genç,adjective
"Is this ___ book?","Bu senin kitabın mı?",your,senin,determiner
"Do it ___.","Kendin yap.",yourself,kendin,pronoun
